,pd_year,pd_month,pd_date,pd_weekday,pd_time,pd_currency,pd_news,pd_impact,pd_forecast,pd_previous
0,2021,Jan,3,Sunday,16:00,AUD,AIG Manufacturing Index,med,56.0,55.8
1,2021,Jan,3,Sunday,18:30,JPY,Jibun Bank Manufacturing PMI Final,med,49.7,49.0
2,2021,Jan,3,Sunday,19:45,CNY,Chinese Caixin Manufacturing PMI,high,54.6,54.9
0,2021,Jan,4,Monday,01:00,GBP,Nationwide Housing Prices YoY,med,,
1,2021,Jan,4,Monday,01:00,GBP,Nationwide Housing Prices MoM,med,,
2,2021,Jan,4,Monday,02:30,CHF,procure.ch Manufacturing PMI,low,54.5,55.2
3,2021,Jan,4,Monday,02:50,EUR,French Markit Manufacturing PMI Final,low,51.1,49.6
4,2021,Jan,4,Monday,02:55,EUR,German Markit Manufacturing PMI Final,med,58.6,57.8
5,2021,Jan,4,Monday,03:00,EUR,Markit Manufacturing PMI Final,med,55.5,53.8
6,2021,Jan,4,Monday,03:30,GBP,Markit/CIPS Manufacturing PMI Final,med,57.3,55.6
7,2021,Jan,4,Monday,03:30,GBP,Net Lending to Individuals MoM,low,3.6B,3.8B*
8,2021,Jan,4,Monday,03:30,GBP,BoE Consumer Credit,med,-1.4B,-0.7B*
9,2021,Jan,4,Monday,03:30,GBP,Mortgage Approvals,med,80.1k,98.3k*
10,2021,Jan,4,Monday,03:30,GBP,Mortgage Lending,med,4.0B,4.5B*
11,2021,Jan,4,Monday,04:00,EUR,French New Car Registrations YoY,low,-12.8%,-27.0%
12,2021,Jan,4,Monday,08:00,EUR,French 12-Month BTF Auction,low,,-0.69%*
13,2021,Jan,4,Monday,08:00,EUR,French 6-Month BTF Auction,low,,-0.72%*
14,2021,Jan,4,Monday,08:00,EUR,French 3-Month BTF Auction,low,,-0.74%*
15,2021,Jan,4,Monday,08:30,CAD,Markit Manufacturing PMI,med,56.0,55.8
16,2021,Jan,4,Monday,08:45,USD,Manufacturing PMI,med,56.5,56.7
17,2021,Jan,4,Monday,09:00,USD,Construction Spending MoM,med,0.7%,1.6%*
18,2021,Jan,4,Monday,09:00,USD,Fed Evans Speech,med,,
19,2021,Jan,4,Monday,09:00,USD,Fed Bostic Speech,med,,
20,2021,Jan,4,Monday,10:30,USD,3-Month Bill Auction,low,,0.1%*
21,2021,Jan,4,Monday,10:30,USD,6-Month Bill Auction,low,,0.1%
22,2021,Jan,4,Monday,11:15,USD,Fed Mester Speech,med,,
23,2021,Jan,4,Monday,14:45,EUR,ECB Lane Speech,low,,
24,2021,Jan,4,Monday,17:00,USD,Fed Mester Speech,med,,
25,2021,Jan,4,Monday,18:30,AUD,ANZ Job Advertisements MoM,low,,13.5%*
0,2021,Jan,5,Tuesday,01:00,EUR,German Retail Sales MoM,med,-2.0%,2.6%
1,2021,Jan,5,Tuesday,01:00,EUR,German Retail Sales YoY,med,4.5%,8.2%
2,2021,Jan,5,Tuesday,01:00,EUR,German Wholesale Price Index,med,4.5%,4.5%
3,2021,Jan,5,Tuesday,01:30,CHF,Inflation Rate MoM,low,0.0%,-0.2%
4,2021,Jan,5,Tuesday,01:30,CHF,Inflation Rate YoY,med,-0.7%,-0.7%
5,2021,Jan,5,Tuesday,02:55,EUR,German Unemployment Change,med,15.0k,-39.0k
6,2021,Jan,5,Tuesday,02:55,EUR,German Unemployment Rate,med,6.1%,6.1%
7,2021,Jan,5,Tuesday,03:00,EUR,Loans to Households YoY,low,3.0%,3.1%
8,2021,Jan,5,Tuesday,03:00,EUR,M3 Money Supply,low,10.6%,10.5%
9,2021,Jan,5,Tuesday,03:00,GBP,New Car Sales YoY,low,-23.0%,-27.4%
10,2021,Jan,5,Tuesday,03:00,EUR,Loans to Companies YoY,low,6.5%,6.8%
11,2021,Jan,5,Tuesday,07:30,CAD,PPI MoM	Final,low,-0.6%,-0.4%
12,2021,Jan,5,Tuesday,07:30,CAD,PPI YoY Final,low,0.1%,0.7%
13,2021,Jan,5,Tuesday,07:30,CAD,Raw Materials Prices YoY,low,,-0.3%
14,2021,Jan,5,Tuesday,07:30,CAD,Raw Materials Prices MoM,low,,0.5%
15,2021,Jan,5,Tuesday,07:55,USD,Redbook MoM,low,,0.4%
16,2021,Jan,5,Tuesday,07:55,USD,Redbook YoY,low,,8.9%
17,2021,Jan,5,Tuesday,08:30,NZD,Global Dairy Trade Price Index,low,,1.3%
18,2021,Jan,5,Tuesday,08:45,USD,ISM New York Index,low,48.5,44.2
19,2021,Jan,5,Tuesday,09:00,USD,ISM Manufacturing New Orders,med,56.8,57.5
20,2021,Jan,5,Tuesday,09:00,USD,ISM Manufacturing Prices,med,61.1,65.4
21,2021,Jan,5,Tuesday,09:00,USD,ISM Manufacturing Employment,med,48.0,48.4
