,pd_month,pd_date,pd_weekday,pd_time,pd_currency,pd_news,pd_impact,pd_forecast,pd_previous
0,Dec,13,Sunday,15:30,NZD,Services NZ PSI,low,53.6,50.8*
1,Dec,13,Sunday,15:45,NZD,Visitor Arrivals YoY,low,-96.1%,-96.7%
2,Dec,13,Sunday,17:50,JPY,Tankan Large All Industry Capex,low,-0.4%,1.4%
3,Dec,13,Sunday,17:50,JPY,Tankan Small Manufacturers Index,low,-38.0,-44.0
4,Dec,13,Sunday,17:50,JPY,Tankan Non-Manufacturing Outlook,low,-8.0,-11.0
5,Dec,13,Sunday,17:50,JPY,Tankan Large Manufacturing Outlook,low,-12.0,-17.0
6,Dec,13,Sunday,17:50,JPY,Tankan Large Non-Manufacturing Index,low,-7.0,-12.0
7,Dec,13,Sunday,17:50,JPY,Tankan Large Manufacturers Index,high,-17.0,-27.0
8,Dec,13,Sunday,19:30,CNY,Chinese House Price Index YoY,med,4.1%,4.3%
9,Dec,13,Sunday,22:30,JPY,Capacity Utilization Rate,low,1.5%,6.4%
10,Dec,13,Sunday,22:30,JPY,Industrial Production YoY Final,low,-3.2%,-9.8%*
11,Dec,13,Sunday,22:30,JPY,Industrial Production MoM Final,med,3.8%,3.9%
12,Dec,13,Sunday,22:30,JPY,Tertiary Industry Activity Index,low,1.5%,2.3%*
0,Dec,14,Monday,01:00,EUR,German Wholesale Prices MoM,med,0.1%,-0.2%
1,Dec,14,Monday,01:00,EUR,German Wholesale Prices YoY,med,-1.7%,-1.9%
2,Dec,14,Monday,03:45,EUR,ECB Panetta Speech,low,,
3,Dec,14,Monday,04:00,EUR,Industrial Production,med,-4.9%,-6.3%*
4,Dec,14,Monday,04:00,EUR,Industrial Production,med,1.5%,0.1%*
5,Dec,14,Monday,05:00,EUR,German Bundesbank Monthly Report,low,,
6,Dec,14,Monday,07:30,EUR,ECB Schnabel Speech,low,,
7,Dec,14,Monday,08:00,EUR,French 6-Month BTF Auction,low,,-0.68%*
8,Dec,14,Monday,08:00,EUR,French 12-Month BTF Auction,low,,-0.68%*
9,Dec,14,Monday,08:00,EUR,French 3-Month BTF Auction,low,,-0.71%*
10,Dec,14,Monday,10:00,USD,Consumer Inflation Expectations,low,2.8%,2.84%
11,Dec,14,Monday,10:30,USD,3-Month Bill Auction,low,,0.08%
12,Dec,14,Monday,10:30,USD,6-Month Bill Auction,low,,0.09%
13,Dec,14,Monday,14:00,NZD,Westpac Consumer Confidence,low,102.5,95.1
14,Dec,14,Monday,18:30,AUD,RBA Meeting Minutes,med,,
15,Dec,14,Monday,18:40,AUD,RBA Kearns Speech,med,,
16,Dec,14,Monday,20:00,CNY,Chinese Industrial Production YoY,med,7.0%,6.9%
17,Dec,14,Monday,20:00,CNY,Chinese Retail Sales YoY,med,4.4%,4.3%
18,Dec,14,Monday,20:00,CNY,Chinese Fixed Asset Investment (YTD) YoY,med,2.7%,1.8%
19,Dec,14,Monday,20:00,CNY,Chinese NBS Press Conference,med,,
20,Dec,14,Monday,20:00,CNY,Chinese Unemployment Rate,med,5.5%,5.3%
0,Dec,15,Tuesday,All Day,CNY,Chinese FDI (YTD) YoY,med,7.6%,6.4%
1,Dec,15,Tuesday,00:45,CHF,SECO Economic Forecasts,med,,
2,Dec,15,Tuesday,01:00,GBP,Average Earnings excl. Bonus,med,2.3%,1.9%
3,Dec,15,Tuesday,01:00,GBP,Average Earnings Index,med,2.0%,1.4%*
4,Dec,15,Tuesday,01:00,GBP,Unemployment Rate,med,5.0%,4.8%
5,Dec,15,Tuesday,01:00,GBP,Claimant Count Change,high,30.0k,-29.8k
6,Dec,15,Tuesday,01:00,GBP,Employment Change,med,-200.0k,-164.0k
7,Dec,15,Tuesday,01:30,CHF,Producer & Import Prices MoM,low,0.2%,0.0%
8,Dec,15,Tuesday,01:30,CHF,Producer & Import Prices YoY,low,-2.3%,-2.9%
9,Dec,15,Tuesday,01:45,EUR,French Inflation Rate YoY Final,low,0.2%,0.0%
10,Dec,15,Tuesday,01:45,EUR,French Inflation Rate MoM Final,low,0.2%,0.0%
11,Dec,15,Tuesday,01:45,EUR,French Harmonised Inflation Rate YoY Final,low,0.2%,0.1%
12,Dec,15,Tuesday,01:45,EUR,French Harmonised Inflation Rate MoM Final,low,0.2%,0.0%
13,Dec,15,Tuesday,03:00,EUR,French IEA Oil Market Report,med,,
14,Dec,15,Tuesday,07:15,CAD,Housing Starts,med,220.0k,215.1k*
15,Dec,15,Tuesday,07:30,CAD,New Motor Vehicle Sales,low,175.0k,174.0k
16,Dec,15,Tuesday,07:30,USD,NY Empire State Manufacturing Index,med,5.0,6.3
17,Dec,15,Tuesday,07:30,USD,Import Prices YoY,med,-0.8%,-1.0%
18,Dec,15,Tuesday,07:30,USD,Export Prices YoY,med,-1.2%,-1.6%
19,Dec,15,Tuesday,07:30,USD,Export Prices MoM,med,0.1%,0.2%
20,Dec,15,Tuesday,07:30,USD,Import Prices MoM,med,0.2%,-0.1%
21,Dec,15,Tuesday,07:30,CAD,Manufacturing Sales,low,0.6%,2.2%*
22,Dec,15,Tuesday,07:55,USD,Redbook YoY,low,,2.1%
23,Dec,15,Tuesday,07:55,USD,Redbook MoM,low,,-2.4%
24,Dec,15,Tuesday,08:05,EUR,ECB Lane Speech,med,,
25,Dec,15,Tuesday,08:15,USD,Capacity Utilization Rate,low,73.0%,73.0%*
26,Dec,15,Tuesday,08:15,USD,Manufacturing Production YoY,low,-4.0%,-3.5%*
27,Dec,15,Tuesday,08:15,USD,Industrial Production YoY,med,-5.0%,-5.0%*
28,Dec,15,Tuesday,08:15,USD,Industrial Production,med,0.3%,0.9%*
29,Dec,15,Tuesday,08:15,USD,Manufacturing Production MoM,low,0.4%,1.1%*
30,Dec,15,Tuesday,08:40,NZD,Global Dairy Trade Price Index,low,,4.3%
31,Dec,15,Tuesday,09:00,USD,IBD/TIPP Economic Optimism,med,53.0,50.0
32,Dec,15,Tuesday,10:30,USD,119-Day Bill Auction,low,,0.08%
33,Dec,15,Tuesday,10:30,USD,42-Day Bill Auction,low,,0.07%
34,Dec,15,Tuesday,13:30,CAD,BoC Gov Macklem Speech,med,,
35,Dec,15,Tuesday,15:00,USD,Foreign Bond Investment,med,,22.5B
36,Dec,15,Tuesday,15:00,USD,TIC Net Long-Term Transactions,med,,108.9B
37,Dec,15,Tuesday,15:00,USD,Overall Net Capital Flows,med,,-80.5B*
38,Dec,15,Tuesday,15:30,USD,API Crude Oil Stock Change,med,,1.14M*
39,Dec,15,Tuesday,15:45,NZD,Current Account,med,-2.8B,1.91B*
40,Dec,15,Tuesday,16:00,AUD,AIG Manufacturing Index,med,55.1,55.8
41,Dec,15,Tuesday,16:00,AUD,Markit Services PMI Flash,med,54.7,55.1
42,Dec,15,Tuesday,16:00,AUD,Markit Composite PMI Flash,low,54.5,54.9
43,Dec,15,Tuesday,17:50,JPY,Imports YoY,low,-12.0%,-13.3%
44,Dec,15,Tuesday,17:50,JPY,Exports YoY,med,0.5%,-0.2%
45,Dec,15,Tuesday,17:50,JPY,Balance of Trade,high,510.0B,871.7B*
46,Dec,15,Tuesday,18:30,AUD,Westpac Leading Index MoM,low,0.3%,0.3%*
47,Dec,15,Tuesday,18:30,JPY,Jibun Bank Manufacturing PMI Flash,med,50.0,49.0
48,Dec,15,Tuesday,18:30,JPY,Jibun Bank Services PMI Flash,med,48.5,47.8*
49,Dec,15,Tuesday,18:30,JPY,Jibun Bank Composite PMI Flash,low,49.0,48.1*
0,Dec,16,Wednesday,All Day,EUR,Eurogroup Video Conference,high,,
1,Dec,16,Wednesday,01:00,GBP,Core Inflation Rate MoM,low,0.2%,0.2%
2,Dec,16,Wednesday,01:00,GBP,PPI Input MoM,low,,0.4%*
3,Dec,16,Wednesday,01:00,GBP,PPI Input YoY,low,,-1.2%*
4,Dec,16,Wednesday,01:00,GBP,PPI Output YoY,low,-0.8%,-1.4%
5,Dec,16,Wednesday,01:00,GBP,PPI Output MoM,low,0.2%,0.0%
6,Dec,16,Wednesday,01:00,GBP,Core Inflation Rate YoY,med,1.4%,1.5%
7,Dec,16,Wednesday,01:00,GBP,Inflation Rate MoM,med,0.2%,0.0%
8,Dec,16,Wednesday,01:00,GBP,Inflation Rate YoY,high,0.8%,0.7%
9,Dec,16,Wednesday,01:00,GBP,PPI Output,low,0.9%,0.7%*
10,Dec,16,Wednesday,01:00,GBP,PPI Core Output MoM,low,0.1%,0.2%
11,Dec,16,Wednesday,01:00,GBP,Retail Price Index MoM,low,0.2%,0.3%*
12,Dec,16,Wednesday,01:00,GBP,Retail Price Index YoY,low,1.4%,1.3%
13,Dec,16,Wednesday,02:15,EUR,French Markit Composite PMI Flash,low,41.1,40.6
14,Dec,16,Wednesday,02:15,EUR,French Markit Manufacturing PMI Flash,low,50.0,49.6
15,Dec,16,Wednesday,02:15,EUR,French Markit Services PMI Flash,low,39.7,38.8
16,Dec,16,Wednesday,02:30,EUR,German Markit Composite PMI Flash,low,51.0,51.7
17,Dec,16,Wednesday,02:30,EUR,German Markit Services PMI Flash,med,44.5,46.0
18,Dec,16,Wednesday,02:30,EUR,German Markit Manufacturing PMI Flash,med,55.9,57.8
19,Dec,16,Wednesday,03:00,EUR,Markit Composite PMI Flash,low,45.9,45.3
20,Dec,16,Wednesday,03:00,EUR,Markit Manufacturing PMI Flash,med,52.9,53.8
21,Dec,16,Wednesday,03:00,EUR,Markit Services PMI Flash,med,41.5,41.7
22,Dec,16,Wednesday,03:30,GBP,Markit/CIPS Composite PMI Flash,low,51.5,49.0
23,Dec,16,Wednesday,03:30,GBP,Markit/CIPS UK Services PMI Flash,med,50.9,47.6
24,Dec,16,Wednesday,03:30,GBP,Markit/CIPS Manufacturing PMI Flash,med,55.5,55.6
25,Dec,16,Wednesday,03:50,EUR,German Bundesbank Buch Speech,med,,
26,Dec,16,Wednesday,04:00,EUR,Wage Growth YoY,low,3.2%,4.5%*
27,Dec,16,Wednesday,04:00,EUR,Labour Cost Index YoY,low,2.8%,3.6%*
28,Dec,16,Wednesday,04:00,EUR,Trade Balance,med,28.0B,24.4B*
29,Dec,16,Wednesday,04:00,EUR,Construction Output YoY,med,0.8%,-2.3%*
30,Dec,16,Wednesday,06:00,USD,MBA Mortgage Applications,low,,-1.2%
31,Dec,16,Wednesday,06:00,USD,MBA 30-Year Mortgage Rate,low,,2.9%
32,Dec,16,Wednesday,07:30,CAD,Foreign Securities Purchases by Canadians,low,,11.3B*
33,Dec,16,Wednesday,07:30,CAD,Foreign Securities Purchases,low,,4.7B*
34,Dec,16,Wednesday,07:30,CAD,Inflation Rate MoM,med,0.1%,0.4%
35,Dec,16,Wednesday,07:30,CAD,Core Inflation Rate YoY,med,1.0%,1.0%
36,Dec,16,Wednesday,07:30,CAD,Inflation Rate YoY,high,0.8%,0.7%
37,Dec,16,Wednesday,07:30,CAD,Wholesale Sales MoM,low,0.9%,0.6%*
38,Dec,16,Wednesday,07:30,USD,Retail Sales MoM,high,-0.3%,-0.1%*
39,Dec,16,Wednesday,07:30,USD,Retail Sales YoY,low,5.4%,5.5%*
40,Dec,16,Wednesday,07:30,USD,Retail Sales Ex Autos MoM,med,0.1%,-0.1%*
41,Dec,16,Wednesday,08:00,EUR,ECB Enria Speech,low,,
42,Dec,16,Wednesday,08:45,USD,Markit Composite PMI Flash,med,57.0,58.6
43,Dec,16,Wednesday,08:45,USD,Markit Services PMI Flash,med,55.6,58.4
44,Dec,16,Wednesday,08:45,USD,Manufacturing PMI,med,55.0,56.7
45,Dec,16,Wednesday,09:00,USD,Business Inventories MoM,med,0.6%,0.8%*
46,Dec,16,Wednesday,09:00,USD,NAHB Housing Market Index,med,88.0,90.0
47,Dec,16,Wednesday,09:30,USD,EIA Gasoline Stocks Change,med,,4.22M*
48,Dec,16,Wednesday,09:30,USD,EIA Crude Oil Stocks Change,med,,15.19M*
49,Dec,16,Wednesday,09:30,USD,EIA Distillate Stocks Change,med,,5.22M*
50,Dec,16,Wednesday,09:30,USD,EIA Distillate Fuel Production Change,low,,0.08M*
